id,vege_name,recipe,食譜網址來源,image_path
479550,地瓜,地瓜蔬菜球,https://icook.tw/recipes/479550,地瓜/479550_地瓜蔬菜球.jpg
479554,地瓜,高蛋白地瓜蛋糕,https://icook.tw/recipes/479554,地瓜/479554_高蛋白地瓜蛋糕.jpg
478739,地瓜,燙地瓜葉,https://icook.tw/recipes/478739,地瓜/478739_燙地瓜葉.jpg
475642,地瓜,蒸地瓜,https://icook.tw/recipes/475642,地瓜/475642_蒸地瓜.jpg
478350,地瓜,皮蛋地瓜葉,https://icook.tw/recipes/478350,地瓜/478350_皮蛋地瓜葉.jpg
477635,地瓜,地瓜泥蒸蛋,https://icook.tw/recipes/477635,地瓜/477635_地瓜泥蒸蛋.jpg
473982,地瓜,地瓜圓,https://icook.tw/recipes/473982,地瓜/473982_地瓜圓.jpg
476990,地瓜,地瓜布朗尼,https://icook.tw/recipes/476990,地瓜/476990_地瓜布朗尼.jpg
476757,地瓜,水晶地瓜粽,https://icook.tw/recipes/476757,地瓜/476757_水晶地瓜粽.jpg
477936,地瓜,地瓜起司蛋糕,https://icook.tw/recipes/477936,地瓜/477936_地瓜起司蛋糕.jpg
475980,地瓜,拔絲地瓜,https://icook.tw/recipes/475980,地瓜/475980_拔絲地瓜.jpg
475352,地瓜,地瓜薯條（氣炸鍋）,https://icook.tw/recipes/475352,地瓜/475352_地瓜薯條（氣炸鍋）.jpg
474759,地瓜,地瓜貝果,https://icook.tw/recipes/474759,地瓜/474759_地瓜貝果.jpg
479547,地瓜,雙色地瓜鯛魚粥,https://icook.tw/recipes/479547,地瓜/479547_雙色地瓜鯛魚粥.jpg
477519,地瓜,香甜地瓜炒五花肉,https://icook.tw/recipes/477519,地瓜/477519_香甜地瓜炒五花肉.jpg
479548,地瓜,芋圓地瓜圓綠豆湯,https://icook.tw/recipes/479548,地瓜/479548_芋圓地瓜圓綠豆湯.jpg
477977,地瓜,地瓜洋梨濃湯(燜燒鍋版),https://icook.tw/recipes/477977,地瓜/477977_地瓜洋梨濃湯(燜燒鍋版).jpg
470845,地瓜,地瓜蛋糕,https://icook.tw/recipes/470845,地瓜/470845_地瓜蛋糕.jpg
478743,地瓜,三色芋圓地瓜圓,https://icook.tw/recipes/478743,地瓜/478743_三色芋圓地瓜圓.jpg
478410,地瓜,【低負擔】地瓜布朗尼,https://icook.tw/recipes/478410,地瓜/478410_【低負擔】地瓜布朗尼.jpg
472793,地瓜,地瓜紅豆餅,https://icook.tw/recipes/472793,地瓜/472793_地瓜紅豆餅.jpg
473169,地瓜,地瓜葉煎蛋,https://icook.tw/recipes/473169,地瓜/473169_地瓜葉煎蛋.jpg
477961,地瓜,氣炸雞腿排 (地瓜粉),https://icook.tw/recipes/477961,地瓜/477961_氣炸雞腿排_(地瓜粉).jpg
478078,地瓜,地瓜圓/紫薯芋圓,https://icook.tw/recipes/478078,地瓜/478078_地瓜圓_紫薯芋圓.jpg
478020,地瓜,優格地瓜蘋果沙拉,https://icook.tw/recipes/478020,地瓜/478020_優格地瓜蘋果沙拉.jpg
476769,地瓜,地瓜布朗尼蛋撻,https://icook.tw/recipes/476769,地瓜/476769_地瓜布朗尼蛋撻.jpg
472364,地瓜,地瓜薑湯,https://icook.tw/recipes/472364,地瓜/472364_地瓜薑湯.jpg
476887,地瓜,藍家小館-地瓜蒸蛋,https://icook.tw/recipes/476887,地瓜/476887_藍家小館-地瓜蒸蛋.jpg
